"WAR","Year","above_threshold"
0.8,2001,TRUE
0.8,2001,TRUE
0.7,2005,TRUE
0.7,2004,TRUE
0.7,2004,TRUE
0.7,2003,TRUE
0.7,2002,TRUE
0.7,2002,TRUE
0.7,2002,TRUE
0.6,2005,TRUE
0.6,2002,TRUE
0.6,2001,TRUE
0.5,2004,TRUE
0.5,2002,TRUE
0.5,2001,TRUE
0.5,2001,TRUE
0.5,2001,TRUE
0.4,2004,TRUE
0.4,2004,TRUE
0.4,2002,TRUE
0.4,2002,TRUE
0.3,2005,FALSE
0.3,2005,FALSE
0.3,2005,FALSE
0.3,2003,FALSE
0.3,2003,FALSE
0.3,2003,FALSE
0.3,2002,TRUE
0.3,2002,TRUE
0.3,2001,TRUE
0.3,2001,TRUE
0.3,2001,TRUE
0.3,2001,TRUE
0.2,2005,FALSE
0.2,2004,FALSE
0.2,2003,FALSE
0.2,2003,FALSE
0.2,2001,TRUE
0.1,2005,FALSE
0.1,2004,FALSE
0.1,2004,FALSE
0.1,2003,FALSE
0.1,2003,FALSE
0.1,2001,FALSE
0.1,2001,FALSE
0,2002,FALSE
0,2002,FALSE
0,2001,FALSE
0,2001,FALSE
0,2001,FALSE
-0.1,2005,FALSE
-0.1,2005,FALSE
-0.1,2004,FALSE
-0.1,2003,FALSE
-0.1,2003,FALSE
-0.1,2003,FALSE
-0.1,2003,FALSE
-0.1,2002,FALSE
-0.1,2002,FALSE
-0.1,2001,FALSE
-0.1,2001,FALSE
-0.1,2001,FALSE
-0.1,2001,FALSE
-0.2,2005,FALSE
-0.2,2005,FALSE
-0.2,2004,FALSE
-0.2,2004,FALSE
-0.2,2004,FALSE
-0.2,2003,FALSE
-0.2,2002,FALSE
-0.2,2002,FALSE
-0.2,2002,FALSE
-0.2,2002,FALSE
-0.2,2002,FALSE
-0.2,2002,FALSE
-0.3,2005,FALSE
-0.3,2005,FALSE
-0.3,2004,FALSE
-0.3,2004,FALSE
-0.3,2004,FALSE
-0.3,2004,FALSE
-0.3,2004,FALSE
-0.3,2003,FALSE
-0.3,2003,FALSE
-0.3,2003,FALSE
-0.3,2002,FALSE
-0.3,2001,FALSE
-0.3,2001,FALSE
-0.3,2001,FALSE
-0.3,2001,FALSE
-0.3,2001,FALSE
-0.3,2001,FALSE
-0.3,2001,FALSE
-0.4,2005,FALSE
-0.4,2005,FALSE
-0.4,2005,FALSE
-0.4,2005,FALSE
-0.4,2005,FALSE
-0.4,2004,FALSE
-0.4,2004,FALSE
-0.4,2004,FALSE
-0.4,2003,FALSE
-0.4,2003,FALSE
-0.4,2003,FALSE
-0.4,2003,FALSE
-0.4,2003,FALSE
-0.4,2002,FALSE
-0.4,2002,FALSE
-0.4,2002,FALSE
-0.4,2001,FALSE
-0.4,2001,FALSE
-0.4,2001,FALSE
-0.4,2001,FALSE
-0.4,2001,FALSE
-0.5,2005,FALSE
-0.5,2005,FALSE
-0.5,2003,FALSE
